total_loss,p_move_loss,_runtime,value_loss,p_move_labeled_frac,oracle_total_positions,_step,policy_loss,p_move_lambda,_timestamp,aux_loss,oracle_unique_positions
,,1169.702962217,,,12907.0,0,,1.0,1773973829.9804323,,10332.0
2.9983251094818115,2.1685469150543213,1169.794198455,0.9949332475662231,1.0,,1,2.003392219543457,,1773973830.071806,2.1685469150543213,
2.9592701196670532,1.7739571332931519,1170.206515633,0.9730945229530334,1.0,,3,1.986175537109375,,1773973830.4842863,1.7739571332931519,
3.0062668323516846,1.7805325984954834,1170.355620742,0.988982081413269,1.0,,4,2.017284631729126,,1773973830.6334627,1.7805325984954834,
3.007295608520508,1.7708492279052734,1170.505041877,0.9884812831878662,0.9999999403953552,,5,2.0188140869140625,,1773973830.782884,1.7708492279052734,
3.0023281574249268,1.755375623703003,1170.514005934,0.9593626260757446,1.0,,6,2.0429654121398926,,1773973830.7919219,1.755375623703003,
2.943798542022705,1.7843780517578125,1170.66170858,0.9498662948608398,1.0,,7,1.9939323663711548,,1773973830.9394524,1.7843780517578125,
2.897540807723999,1.7307531833648682,1170.809039599,0.8971074819564819,1.0,,8,2.0004334449768066,,1773973831.086804,1.7307531833648682,
2.9870563745498657,1.7198718786239624,1170.956262405,0.9536166191101074,1.0,,9,2.0334396362304688,,1773973831.2340674,1.7198718786239624,
2.79282546043396,1.5528347492218018,1171.104063369,0.8579201698303223,0.9999999403953552,,10,1.9349050521850586,,1773973831.3818772,1.5528347492218018,
2.8477394580841064,1.6638944149017334,1171.11089009,0.8864818215370178,1.0,,11,1.9612575769424438,,1773973831.3888066,1.6638944149017334,
2.7678314447402954,1.547411322593689,1171.258816972,0.859619140625,1.0,,12,1.9082123041152954,,1773973831.5365348,1.547411322593689,
2.7097156047821045,1.504793405532837,1171.408309163,0.7827007174491882,1.0,,13,1.927014708518982,,1773973831.6861358,1.504793405532837,
2.794702410697937,1.4737368822097778,1171.557989426,0.8552559614181519,1.0,,14,1.9394464492797852,,1773973831.8358147,1.4737368822097778,
2.595136523246765,1.502787709236145,1171.707729348,0.7500426173210144,0.9999999403953552,,15,1.8450939655303955,,1773973831.985566,1.502787709236145,
2.71152925491333,1.3743443489074707,1171.714508868,0.8004928827285767,1.0,,16,1.9110361337661743,,1773973831.9923656,1.3743443489074707,
2.7473695278167725,1.3164341449737549,1171.863210633,0.8442867994308472,1.0,,17,1.9030828475952148,,1773973832.141063,1.3164341449737549,
2.69709575176239,1.4672023057937622,1172.011845087,0.7702211141586304,1.0,,18,1.9268746376037598,,1773973832.2896597,1.4672023057937622,
2.6091701984405518,1.370018482208252,1172.160581003,0.7820380330085754,1.0,,19,1.827132225036621,,1773973832.4384491,1.370018482208252,
2.7267853021621704,1.2734178304672241,1172.309748316,0.9222195148468018,0.9999999403953552,,20,1.804565668106079,,1773973832.5875452,1.2734178304672241,
,,2397.148206232,,,14112.0,21,,1.0,1773975057.4257677,,11145.0
2.6984446048736572,1.438220739364624,2397.155319588,1.0031652450561523,1.0,,22,1.6952791213989258,,1773975057.4332287,1.438220739364624,
2.5618350505828857,1.2997486591339111,2397.309247689,0.8778853416442871,1.0,,23,1.6839497089385986,,1773975057.587095,1.2997486591339111,
2.4533413648605347,1.3318439722061157,2397.463663754,0.8373316526412964,1.0,,24,1.6160098314285278,,1773975057.7412689,1.3318439722061157,
2.5692025423049927,1.351948618888855,2397.618432028,0.8919744491577148,1.0,,25,1.6772282123565674,,1773975057.8958766,1.351948618888855,
2.4785232543945312,1.329362392425537,2397.770372961,0.81651771068573,1.0,,26,1.6620054244995117,,1773975058.0481741,1.329362392425537,
2.3236252069473267,1.2395528554916382,2397.851821149,0.7336927652359009,1.0,,27,1.5899323225021362,,1773975058.1296659,1.2395528554916382,
2.313616991043091,1.1613361835479736,2398.005329399,0.7310146689414978,1.0,,28,1.5826023817062378,,1773975058.283133,1.1613361835479736,
2.32117235660553,1.2220739126205444,2398.156650069,0.6887083053588867,1.0,,29,1.632464051246643,,1773975058.43443,1.2220739126205444,
2.3007636070251465,1.3280918598175049,2398.310563178,0.7006772756576538,1.0,,30,1.6000864505767822,,1773975058.5883322,1.3280918598175049,
2.316457152366638,1.1860958337783813,2398.464695086,0.7710719108581543,1.0,,31,1.5453851222991943,,1773975058.742195,1.1860958337783813,
2.159393072128296,1.092012643814087,2398.693695898,0.6378614902496338,1.0,,33,1.521531581878662,,1773975058.9713845,1.092012643814087,
2.200000286102295,1.1417248249053955,2398.845708229,0.6024905443191528,1.0,,34,1.5975098609924316,,1773975059.1234806,1.1417248249053955,
2.347839832305908,1.2997536659240723,2398.99720265,0.7070869207382202,1.0,,35,1.6407527923583984,,1773975059.2750514,1.2997536659240723,
2.071137309074402,1.1749950647354126,2399.216865963,0.5317080616950989,1.0,,37,1.5394293069839478,,1773975059.494757,1.1749950647354126,
2.0033587217330933,1.0520092248916626,2399.368056989,0.5011674761772156,1.0,,38,1.502191185951233,,1773975059.6458662,1.0520092248916626,
2.2940412759780884,1.1693605184555054,2399.519416638,0.6540199518203735,1.0,,39,1.6400213241577148,,1773975059.7972028,1.1693605184555054,
2.1688812971115112,1.0637274980545044,2399.670869237,0.5581753253936768,1.0,,40,1.610706090927124,,1773975059.9486353,1.0637274980545044,
2.1367368698120117,1.127742052078247,2399.822115004,0.5526260137557983,1.0,,41,1.5841107368469238,,1773975060.099887,1.127742052078247,
,,3846.327815997,,,16638.0,42,,1.0,1773976506.6052496,,12912.0
2.6037561893463135,1.192063570022583,3846.333691244,1.0984604358673096,1.0,,43,1.505295753479004,,1773976506.6115324,1.192063570022583,
2.420212149620056,1.2077027559280396,3846.487248042,0.8743787407875061,1.0,,44,1.5458335876464844,,1773976506.76504,1.2077027559280396,
2.182257652282715,1.139265537261963,3846.641265693,0.7528337836265564,1.0,,45,1.4294238090515137,,1773976506.918768,1.139265537261963,
2.0838979482650757,1.1233607530593872,3846.794051253,0.6795175075531006,1.0,,46,1.4043805599212646,,1773976507.071712,1.1233607530593872,
2.145413398742676,1.1755733489990234,3846.946277984,0.7437546849250793,1.0,,47,1.4016586542129517,,1773976507.224055,1.1755733489990234,
2.288912534713745,1.218719720840454,3847.100050907,0.7979996800422668,1.0,,48,1.4909127950668335,,1773976507.3778732,1.218719720840454,
2.1700005531311035,1.1163957118988037,3847.137276453,0.7174642086029053,1.0,,49,1.4525363445281982,,1773976507.4151864,1.1163957118988037,
1.921715259552002,1.126063346862793,3847.289564716,0.5002188682556152,1.0,,50,1.4214962720870972,,1773976507.567466,1.126063346862793,
2.1691473722457886,1.155417561531067,3847.443546403,0.6283165812492371,1.0,,51,1.5408306121826172,,1773976507.721349,1.155417561531067,
1.9997072219848633,1.1172866821289062,3847.595499232,0.6007252931594849,1.0,,52,1.398982048034668,,1773976507.873358,1.1172866821289062,
2.011052131652832,1.1339287757873535,3847.751814144,0.565160870552063,1.0,,53,1.445891261100769,,1773976508.0296078,1.1339287757873535,
1.992432951927185,1.1064831018447876,3847.904489148,0.5946860313415527,1.0,,54,1.3977468013763428,,1773976508.1823585,1.1064831018447876,
1.803098440170288,0.8886082172393799,3847.936743946,0.5086444616317749,1.0,,55,1.2944539785385132,,1773976508.2146647,0.8886082172393799,
1.9191269874572754,1.0613069534301758,3848.08885988,0.5284148454666138,1.0,,56,1.3907121419906616,,1773976508.3667362,1.0613069534301758,
1.9687304496765137,1.0896000862121582,3848.241144888,0.49934160709381104,1.0,,57,1.4693888425827026,,1773976508.5188644,1.0896000862121582,
1.8948710560798645,0.979207456111908,3848.392878528,0.539749026298523,1.0,,58,1.3551220893859863,,1773976508.6707315,0.979207456111908,
1.82575923204422,0.9976152777671814,3848.697595945,0.5063576102256775,1.0,,60,1.319401502609253,,1773976508.9753032,0.9976152777671814,
1.962628722190857,0.9864403009414673,3848.729736472,0.5719019174575806,1.0,,61,1.3907268047332764,,1773976509.0075972,0.9864403009414673,
1.7523131370544434,0.8695447444915771,3848.881619606,0.4373430609703064,1.0,,62,1.3149700164794922,,1773976509.159425,0.8695447444915771,
