_timestamp,total_loss,value_loss,policy_loss,_step,_runtime
1769411031.2980857,5.638528823852539,1.067159652709961,4.571369171142578,0,809.973880031
1769411031.5738356,3.545754909515381,0.9467401504516602,2.5990147590637207,1,810.249601445
1769411031.7788491,3.3897507190704346,0.8102142810821533,2.5795364379882812,2,810.454488393
1769411031.8604734,3.5543413162231445,0.8783003091812134,2.6760411262512207,3,810.536000048
1769411032.065263,3.4423704147338867,0.8848110437393188,2.5575594902038574,4,810.740793617
1769411032.2699897,3.163376808166504,0.7843105792999268,2.379066228866577,5,810.945544702
1769411032.3495617,3.356017589569092,0.8626831769943237,2.4933345317840576,6,811.025084769
1769411032.5543,3.3873677253723145,0.797881007194519,2.589486837387085,7,811.229804277
1769411032.7573488,3.025740146636963,0.7383451461791992,2.2873950004577637,8,811.432912307
1769411032.8362532,3.113690137863159,0.7413818836212158,2.3723082542419434,9,811.511765212
1769411033.0390506,2.994658946990967,0.7399868965148926,2.254672050476074,10,811.71457211
1769411033.2422879,3.0608339309692383,0.745808482170105,2.3150253295898438,11,811.917844447
1769412060.451013,2.942477226257324,0.7611352205276489,2.181342124938965,12,1839.126547504
1769412060.65799,2.6403660774230957,0.6114161014556885,2.0289499759674072,13,1839.33363513
1769412060.8629584,2.6884829998016357,0.6264417767524719,2.0620412826538086,14,1839.538510912
1769412061.0605218,2.4134457111358643,0.5127331018447876,1.9007126092910767,15,1839.736229158
1769412061.2664406,2.703430414199829,0.6353456974029541,2.068084716796875,16,1839.942215675
1769412061.471157,2.647566795349121,0.6449793577194214,2.00258731842041,17,1840.146712349
1769412061.6634603,2.6573047637939453,0.6194115877151489,2.037893056869507,18,1840.338983451
1769412061.865928,2.817185163497925,0.6483853459358215,2.168799877166748,19,1840.541472356
1769412062.0678568,2.576761245727539,0.6050161123275757,1.9717451333999634,20,1840.7433734
1769412062.2597697,2.85219669342041,0.6688593029975891,2.183337450027466,21,1840.935285595
1769412062.4612546,2.7384018898010254,0.6857472062110901,2.05265474319458,22,1841.136727742
1769412062.6635003,2.5188772678375244,0.5639764666557312,1.9549007415771484,23,1841.338988114
1769413151.1236563,2.2558979988098145,0.5110987424850464,1.7447993755340576,24,2929.799179469
1769413151.3298678,2.3697800636291504,0.6223995685577393,1.7473804950714111,25,2930.005439395
1769413151.5348167,2.2582714557647705,0.4990282356739044,1.759243130683899,26,2930.210339885
1769413151.7398126,2.3514857292175293,0.5492073893547058,1.8022782802581787,27,2930.415565121
1769413151.7681358,2.4167697429656982,0.6050951480865479,1.8116745948791504,28,2930.443704225
1769413151.9729702,2.3155064582824707,0.5515737533569336,1.7639325857162476,29,2930.648496964
1769413152.1777272,2.187140941619873,0.5095536112785339,1.6775872707366943,30,2930.853347108
