p_move_loss,policy_loss,p_move_labeled_frac,_step,_runtime,_timestamp,total_loss,value_loss
4.6634392738342285,4.572521686553955,0.7890625,0,1088.971947542,1771396607.4598625,5.646285533905029,1.0737640857696533
2.3127362728118896,2.8367760181427,0.8125,1,1089.490455971,1771396607.978457,3.705766439437866,0.8689904808998108
1.6085524559020996,2.6308116912841797,0.8125,2,1089.866166254,1771396608.3542762,3.4689817428588867,0.838170051574707
1.622079610824585,2.5825295448303223,0.7578125,3,1090.010924012,1771396608.4990652,3.4011242389678955,0.8185944557189941
1.3844882249832153,2.961030960083008,0.8671875,4,1090.367178999,1771396608.855224,3.825308680534363,0.8642776012420654
1.3136848211288452,2.6430225372314453,0.78125,5,1090.715393913,1771396609.2035315,3.4998494386672974,0.8568270802497864
1.4961382150650024,2.8022310733795166,0.8359375,6,1090.850287861,1771396609.3383005,3.635461211204529,0.8332302570343018
1.2002320289611816,2.7920992374420166,0.8515625,7,1091.199394573,1771396609.6874385,3.7008490562438965,0.9087501168251038
1.271724820137024,2.771360397338867,0.859375,8,1091.547200617,1771396610.0351908,3.602000117301941,0.8306399583816528
1.1166150569915771,3.062746524810791,0.8671875,9,1091.675153815,1771396610.1631327,3.90256667137146,0.839820146560669
1.0134949684143066,2.717958450317383,0.8125,10,1092.025718411,1771396610.5137444,3.4346446990966797,0.7166861891746521
1.157675862312317,2.785616397857666,0.765625,11,1092.374733855,1771396610.8627608,3.504845976829529,0.7192296981811523
1.2589572668075562,1.6370227336883545,0.609375,12,2618.73543198,1771398137.2236629,2.3942753076553345,0.7572523355484009
1.1742407083511353,1.734226942062378,0.640625,13,2619.108441356,1771398137.5964718,2.4106281995773315,0.6764013171195984
0.9632274508476257,1.7048945426940918,0.625,14,2619.46918202,1771398137.9572053,2.365762770175934,0.6608680486679077
1.1527436971664429,1.6016912460327148,0.671875,15,2619.827212681,1771398138.315188,2.282875657081604,0.6811842918395996
0.9744587540626526,1.654231071472168,0.703125,16,2619.894135669,1771398138.3821893,2.279353082180023,0.6251220107078552
0.9746924042701721,1.8487143516540527,0.65625,17,2620.241247386,1771398138.7292812,2.6016587615013123,0.7529444098472595
0.7962636947631836,1.6961140632629395,0.609375,18,2620.586640575,1771398139.0746887,2.3353347778320312,0.6392208337783813
0.7527416944503784,1.4320886135101318,0.65625,19,2620.93176479,1771398139.4198027,1.9648290872573853,0.5327406525611877
0.663410484790802,1.6449103355407715,0.640625,20,2620.989058283,1771398139.47716,2.2882580161094666,0.6433478593826294
