total_loss,value_loss,policy_loss,_step,_runtime,_timestamp
5.800137042999268,0.9619303941726685,4.838206768035889,0,1135.986957353,1769411325.0585275
3.7048096656799316,0.9557067155838013,2.74910306930542,1,1136.366194213,1769411325.4382236
3.7465617656707764,0.9281752705574036,2.8183865547180176,2,1136.633659102,1769411325.705649
3.6739706993103027,0.9416365623474121,2.7323341369628906,3,1136.728646025,1769411325.8007202
3.318878650665283,0.8331760168075562,2.4857025146484375,4,1136.997396892,1769411326.0693073
3.384003162384033,0.7910587787628174,2.592944383621216,5,1137.268319314,1769411326.340366
3.417773485183716,0.8335108757019043,2.5842626094818115,6,1137.356200186,1769411326.4282308
3.4862899780273438,0.831722617149353,2.654567241668701,7,1137.626325598,1769411326.6983511
3.4350943565368652,0.8187652230262756,2.6163291931152344,8,1137.896713334,1769411326.9687812
3.099677801132202,0.732747495174408,2.3669302463531494,9,1137.984563656,1769411327.0565827
3.659533977508545,0.881057858467102,2.7784759998321533,10,1138.255468139,1769411327.3274724
3.6075754165649414,0.8723468780517578,2.7352285385131836,11,1138.52643124,1769411327.5985253
3.3236141204833984,0.7652344107627869,2.558379650115967,12,2525.376642691,1769412714.4488335
2.721123695373535,0.7237633466720581,1.9973604679107666,13,2525.647454955,1769412714.7189245
2.49112868309021,0.5999987125396729,1.891129970550537,14,2525.91501558,1769412714.9871113
2.6408376693725586,0.6191966533660889,2.0216410160064697,15,2526.172170901,1769412715.2442312
2.946113348007202,0.6534698605537415,2.2926435470581055,16,2526.44155888,1769412715.513453
2.7805328369140625,0.7074902057647705,2.073042631149292,17,2526.710405903,1769412715.7824562
2.2658329010009766,0.5940600633621216,1.6717729568481445,18,2526.959147752,1769412716.0312243
2.751063108444214,0.6791427135467529,2.071920394897461,19,2527.228048414,1769412716.300169
2.7685022354125977,0.6548863649368286,2.1136159896850586,20,2527.497132441,1769412716.5692008
2.5989227294921875,0.5974559187889099,2.001466751098633,21,2527.746201322,1769412716.818366
2.7826035022735596,0.6727558970451355,2.1098475456237793,22,2528.01645057,1769412717.0878303
2.905266761779785,0.7035993337631226,2.201667308807373,23,2528.285983076,1769412717.3580754
2.669027328491211,0.6225634813308716,2.04646372795105,24,4136.652266948,1769414325.7244935
2.6759042739868164,0.6352713108062744,2.040632963180542,25,4136.926695674,1769414325.9987772
2.411036968231201,0.5656469464302063,1.8453900814056396,26,4137.199402792,1769414326.2714624
2.293417453765869,0.5301802158355713,1.7632372379302979,27,4137.472399713,1769414326.544466
2.4552526473999023,0.6260154247283936,1.8292372226715088,28,4137.54756123,1769414326.6196303
2.3617842197418213,0.5796118378639221,1.7821723222732544,29,4137.819862218,1769414326.8919425
2.3082916736602783,0.5031680464744568,1.8051235675811768,30,4138.092613445,1769414327.1646454
2.207326650619507,0.5516577959060669,1.65566885471344,31,4138.365542338,1769414327.4376135
