value_loss,policy_loss,_step,_runtime,_timestamp,total_loss
1.0604193210601807,4.619114875793457,0,1681.942096951,1769412003.5619187,5.679533958435059
0.9477442502975464,2.8774468898773193,1,1682.320962109,1769412003.9412367,3.825191020965576
0.9350457191467285,2.8268067836761475,2,1682.573679124,1769412004.1941204,3.761852502822876
0.913424015045166,2.9222068786621094,3,1682.650821587,1769412004.2714627,3.8356308937072754
0.9037086963653564,2.654975414276123,4,1682.897959832,1769412004.5185106,3.5586841106414795
0.8883496522903442,2.612152099609375,5,1683.169474066,1769412004.7900555,3.5005016326904297
0.7926785945892334,2.5373175144195557,6,1683.262149212,1769412004.882858,3.329996109008789
0.9977547526359558,2.7375593185424805,7,1683.527782052,1769412005.1484346,3.735314130783081
0.8633590340614319,2.64597225189209,8,1683.787048636,1769412005.4076712,3.509331226348877
0.7513883113861084,2.57712984085083,9,1683.875469862,1769412005.496181,3.3285181522369385
0.7730951905250549,2.2994799613952637,10,1684.141713727,1769412005.7623317,3.072575092315674
0.7384543418884277,2.5232534408569336,11,1684.398885695,1769412006.0195072,3.2617077827453613
0.7584581971168518,2.193129062652588,12,3365.456572768,1769413687.077205,2.951587200164795
0.7124887108802795,2.47703218460083,13,3365.751239896,1769413687.3716705,3.189520835876465
0.6806874871253967,2.0893187522888184,14,3366.02438797,1769413687.6449757,2.7700061798095703
0.5910025835037231,2.1175622940063477,15,3366.152197683,1769413687.7729044,2.7085647583007812
0.6670647859573364,2.3510327339172363,16,3366.417263263,1769413688.037857,3.018097400665283
0.6789512038230896,2.1367809772491455,17,3366.688431875,1769413688.3090708,2.81573224067688
0.6556825637817383,1.9859600067138672,18,3366.810354179,1769413688.4309213,2.6416425704956055
0.727645218372345,2.344820737838745,19,3367.07709523,1769413688.697699,3.0724658966064453
0.6487920880317688,2.0122861862182617,20,3367.349173757,1769413688.9698033,2.6610782146453857
0.6003381609916687,2.0207319259643555,21,3367.467045674,1769413689.0876598,2.621070146560669
0.6979510188102722,2.32848858833313,22,3367.739176642,1769413689.3597758,3.026439666748047
0.6711946725845337,2.223665714263916,23,3368.009486317,1769413689.6300082,2.89486026763916
0.651366114616394,2.056053638458252,24,4859.200749361,1769415180.8214447,2.7074198722839355
0.7360186576843262,2.5568952560424805,25,4859.578028371,1769415181.1985111,3.2929139137268066
0.5692992210388184,1.9298113584518433,26,4859.980183857,1769415181.6007135,2.499110698699951
0.6607703566551208,2.135411262512207,27,4860.156200727,1769415181.7767615,2.7961816787719727
0.5896885395050049,2.0325984954833984,28,4860.556796333,1769415182.1773474,2.6222870349884033
0.656076967716217,2.139232873916626,29,4860.964061113,1769415182.5846028,2.7953097820281982
0.5942885279655457,2.1926701068878174,30,4861.129003019,1769415182.749561,2.786958694458008
0.5533267259597778,2.0601110458374023,31,4861.53340416,1769415183.1539283,2.6134376525878906
0.5655776262283325,2.06109881401062,32,4861.935431486,1769415183.5559776,2.626676559448242
0.7287455797195435,2.359786033630371,33,4862.102078673,1769415183.722613,3.088531494140625
0.5974888801574707,2.175786018371582,34,4862.505462298,1769415184.1259568,2.7732748985290527
0.6518599987030029,2.0399622917175293,35,4862.908400109,1769415184.528889,2.6918222904205322
0.5367663502693176,1.9373679161071777,36,6337.982949014,1769416659.6035578,2.4741342067718506
0.585442304611206,2.102973461151123,37,6338.321450797,1769416659.9418576,2.688415765762329
0.6027211546897888,2.111220121383667,38,6338.706133148,1769416660.3267941,2.7139413356781006
0.5650590658187866,2.065791130065918,39,6338.864348441,1769416660.4849126,2.630850315093994
0.5561106204986572,2.01857328414917,40,6339.261467794,1769416660.8819904,2.574683904647827
0.5601487755775452,2.1099705696105957,41,6339.6650064,1769416661.2855504,2.670119285583496
0.5274955034255981,1.9222242832183838,42,6339.828239987,1769416661.4488487,2.4497199058532715
0.5798275470733643,1.9832372665405273,43,6340.209374004,1769416661.8300126,2.5630648136138916
0.6287139654159546,2.1355245113372803,44,6340.609560768,1769416662.2300959,2.7642383575439453
0.6218353509902954,2.2683191299438477,45,6340.769035129,1769416662.3895822,2.8901543617248535
0.5264055728912354,2.0070505142211914,46,6341.14767682,1769416662.768234,2.5334560871124268
0.5547224283218384,2.0647623538970947,47,6341.523416181,1769416663.143891,2.6194849014282227
0.5428975820541382,1.9305438995361328,48,7696.919966638,1769418018.5406418,2.4734416007995605
0.5805267095565796,1.980207920074463,49,7697.278612337,1769418018.8987954,2.560734748840332
0.6541881561279297,2.1359658241271973,50,7697.682939357,1769418019.3032541,2.790153980255127
0.5821183919906616,2.1268980503082275,51,7697.846926224,1769418019.4672782,2.7090163230895996
0.5452334880828857,1.9801474809646606,52,7698.252509062,1769418019.8728492,2.525381088256836
0.4908476173877716,1.793337345123291,53,7698.681795912,1769418020.3007407,2.2841849327087402
0.4391446113586426,1.7018764019012451,54,7698.825374348,1769418020.4458098,2.1410210132598877
0.6220870018005371,2.2609148025512695,55,7699.236357222,1769418020.856565,2.8830018043518066
