_runtime,_timestamp,total_loss,value_loss,policy_loss,_step
647.039627506,1769410933.3565092,5.804100036621094,1.0138137340545654,4.790286540985107,0
647.34808311,1769410933.665047,4.071065425872803,0.9774976372718811,3.0935678482055664,1
647.585167663,1769410933.902352,3.7188923358917236,0.8849918842315674,2.8339004516601562,2
647.69454932,1769410934.011777,3.647599935531616,0.8856351971626282,2.761964797973633,3
647.931628895,1769410934.248804,3.7110369205474854,0.9312317967414856,2.7798051834106445,4
648.168626687,1769410934.4857802,3.6404953002929688,0.9152033925056458,2.7252919673919678,5
648.269100615,1769410934.5863101,3.4853296279907227,0.8297009468078613,2.6556286811828613,6
648.505991417,1769410934.823228,3.5662519931793213,0.9275310039520264,2.638720989227295,7
648.742989089,1769410935.0601852,3.7922706604003906,0.8775578737258911,2.914712905883789,8
648.84361899,1769410935.1608646,3.621143341064453,0.836296021938324,2.7848472595214844,9
649.080335551,1769410935.3976002,3.718435764312744,0.8697589635848999,2.8486766815185547,10
649.31705107,1769410935.6342916,3.4966812133789062,0.8969610929489136,2.599720001220703,11
1332.63236573,1769411618.949596,3.4441723823547363,0.7908344864845276,2.6533379554748535,12
1332.872170388,1769411619.1893444,2.92629075050354,0.6917858123779297,2.2345049381256104,13
1333.109590442,1769411619.426772,3.2209930419921875,0.7062115669250488,2.5147814750671387,14
1333.222802569,1769411619.5400295,3.05424165725708,0.6478992700576782,2.4063425064086914,15
1333.459824868,1769411619.7770538,2.9828412532806396,0.6514487862586975,2.331392526626587,16
1333.696835528,1769411620.0140057,2.8809585571289062,0.6784905195236206,2.202467918395996,17
1333.807221509,1769411620.1244252,3.0104546546936035,0.6535261869430542,2.356928586959839,18
1334.04453262,1769411620.3617034,3.0057239532470703,0.7461374402046204,2.2595865726470947,19
1334.282087697,1769411620.5992925,2.7135558128356934,0.5898891687393188,2.123666763305664,20
1334.392279988,1769411620.7095258,3.2363452911376953,0.6928268671035767,2.543518543243408,21
1334.629159011,1769411620.9463964,3.0950467586517334,0.6850473284721375,2.409999370574951,22
1334.866230193,1769411621.183429,3.4165430068969727,0.7369409799575806,2.6796019077301025,23
2002.752811792,1769412289.0700488,2.7947919368743896,0.6356332898139954,2.159158706665039,24
2002.992409935,1769412289.3095734,2.995847463607788,0.6297709345817566,2.3660764694213867,25
2003.22974701,1769412289.5468545,3.1779983043670654,0.7110469341278076,2.466951370239258,26
2003.361897778,1769412289.679119,2.7775750160217285,0.6159824132919312,2.161592483520508,27
2003.59929295,1769412289.9164715,2.8941540718078613,0.6318536996841431,2.262300491333008,28
2003.836648153,1769412290.1538224,2.8620691299438477,0.618782639503479,2.243286371231079,29
2003.966423651,1769412290.2836392,3.5030341148376465,0.7612671852111816,2.741766929626465,30
2004.204481747,1769412290.5214705,2.87619948387146,0.6066003441810608,2.269599199295044,31
2004.441660495,1769412290.7588046,2.8816797733306885,0.5732185244560242,2.3084611892700195,32
2004.57143968,1769412290.888655,2.729207992553711,0.5905200242996216,2.138688087463379,33
2004.808720651,1769412291.1258814,3.1054677963256836,0.6505284309387207,2.454939365386963,34
2005.045970976,1769412291.3632033,2.7143468856811523,0.5824447870254517,2.1319022178649902,35
2632.722380493,1769412919.0396469,2.565260410308838,0.560495138168335,2.004765272140503,36
2632.962232787,1769412919.279424,3.0948333740234375,0.7063894271850586,2.388443946838379,37
2633.199478035,1769412919.516635,2.6185805797576904,0.5765660405158997,2.0420145988464355,38
2633.332456292,1769412919.6496384,2.6672792434692383,0.5574460029602051,2.109833240509033,39
2633.570140177,1769412919.8872519,2.8920130729675293,0.6601436138153076,2.2318694591522217,40
2633.807580527,1769412920.1247036,2.411888599395752,0.5747642517089844,1.8371243476867676,41
2633.936132703,1769412920.2533636,2.9626412391662598,0.6516356468200684,2.3110055923461914,42
2634.173541095,1769412920.4907224,2.9533655643463135,0.6722352504730225,2.281130313873291,43
2634.410900634,1769412920.728157,2.8396949768066406,0.6477161645889282,2.191978931427002,44
2634.539472209,1769412920.856693,2.979130268096924,0.6239628791809082,2.3551673889160156,45
2634.778761279,1769412921.0956967,2.8920204639434814,0.6160809397697449,2.275939464569092,46
2635.016007078,1769412921.333197,2.6474175453186035,0.5902122259140015,2.0572054386138916,47
3302.632188244,1769413588.949436,2.8490982055664062,0.6514023542404175,2.197695732116699,48
3302.871590749,1769413589.188698,2.5491647720336914,0.5558981895446777,1.9932665824890137,49
3303.109610248,1769413589.4266033,2.7406601905822754,0.6343302726745605,2.106329917907715,50
3303.245956329,1769413589.5630798,2.1317801475524902,0.5072133541107178,1.624566674232483,51
3303.483360319,1769413589.800512,2.6384057998657227,0.6161179542541504,2.0222878456115723,52
3303.720629909,1769413590.0376952,2.5093116760253906,0.5790940523147583,1.9302176237106323,53
3303.853487541,1769413590.1707242,2.407794237136841,0.5448928475379944,1.8629014492034912,54
3304.09072963,1769413590.407935,2.635000705718994,0.5949746370315552,2.0400261878967285,55
3304.327950116,1769413590.6451797,2.8599371910095215,0.6292237043380737,2.230713367462158,56
3304.460758124,1769413590.7779665,2.67045259475708,0.6007646322250366,2.069687843322754,57
3304.69780449,1769413591.015023,2.7271080017089844,0.6069177389144897,2.120190382003784,58
3304.934951507,1769413591.2520757,2.6633453369140625,0.5888468027114868,2.0744986534118652,59
3974.44525563,1769414260.7625074,2.525329828262329,0.6030333042144775,1.9222965240478516,60
3974.684533959,1769414261.0017312,2.7083027362823486,0.6428534984588623,2.0654492378234863,61
3974.92180311,1769414261.2390237,2.5724523067474365,0.5747652649879456,1.9976871013641357,62
3975.063020309,1769414261.380196,2.4419217109680176,0.5828663110733032,1.859055519104004,63
3975.300431302,1769414261.61766,2.696850061416626,0.5945320129394531,2.102318048477173,64
3975.537887962,1769414261.8551047,2.480217933654785,0.5820136070251465,1.8982042074203491,65
3975.67639373,1769414261.9936783,2.3738253116607666,0.5444796681404114,1.829345703125,66
3975.913788318,1769414262.2308836,2.4259986877441406,0.559515118598938,1.8664836883544922,67
3976.150988525,1769414262.4681823,2.275784492492676,0.5588256120681763,1.716958999633789,68
3976.289447312,1769414262.6066716,2.721066951751709,0.6981452703475952,2.022921562194824,69
3976.52680171,1769414262.8440242,2.2907752990722656,0.509130597114563,1.7816448211669922,70
3976.76399081,1769414263.081206,2.5097670555114746,0.5610228776931763,1.9487441778182983,71
4627.871848167,1769414914.189087,2.215284824371338,0.50020432472229,1.7150804996490479,72
4628.110788496,1769414914.427983,2.4986352920532227,0.5578354597091675,1.9407999515533447,73
4628.348110021,1769414914.6653328,2.4092659950256348,0.5816739797592163,1.8275920152664185,74
4628.479821428,1769414914.7970693,2.1923959255218506,0.504478931427002,1.6879169940948486,75
4628.717540359,1769414915.0345614,2.2670416831970215,0.5197461843490601,1.7472954988479614,76
4628.954657068,1769414915.2717705,2.5776171684265137,0.5775325298309326,2.000084638595581,77
4629.083021486,1769414915.4002585,2.5959324836730957,0.5931834578514099,2.002748966217041,78
4629.320993565,1769414915.6379054,2.6197171211242676,0.611775279045105,2.007941961288452,79
4629.558126008,1769414915.8753352,2.6010913848876953,0.6321574449539185,1.9689338207244873,80
4629.68729521,1769414916.0045505,2.692657947540283,0.6138606071472168,2.0787973403930664,81
4629.924528573,1769414916.2417536,2.406956672668457,0.5202499628067017,1.8867065906524658,82
4630.161657751,1769414916.4788685,2.4440648555755615,0.5345933437347412,1.9094715118408203,83
5308.587172778,1769415594.9044204,2.463608741760254,0.5386160016059875,1.9249927997589111,84
5308.826551278,1769415595.1437614,2.4065515995025635,0.5484150648117065,1.858136534690857,85
5309.063738353,1769415595.3809648,2.6608784198760986,0.6474500298500061,2.0134284496307373,86
5309.206311505,1769415595.5235643,2.5677318572998047,0.6202096939086914,1.9475220441818237,87
5309.443720982,1769415595.7608716,2.4669923782348633,0.5351654291152954,1.9318268299102783,88
5309.680868347,1769415595.998119,2.658043146133423,0.6258573532104492,2.0321857929229736,89
5309.821389312,1769415596.1385856,2.4066624641418457,0.5233708620071411,1.8832916021347046,90
5310.058595756,1769415596.3757932,2.4145870208740234,0.5735224485397339,1.8410645723342896,91
5310.295811303,1769415596.6130304,2.7506165504455566,0.6079155206680298,2.1427009105682373,92
5310.436164878,1769415596.7534142,2.310006618499756,0.5250802040100098,1.7849265336990356,93
5310.673347365,1769415596.99059,2.518542766571045,0.5701623558998108,1.948380470275879,94
5310.910402943,1769415597.227627,2.0677735805511475,0.4815180003643036,1.586255669593811,95
5952.916920667,1769416239.2341826,2.4812684059143066,0.5824427604675293,1.898825764656067,96
5953.156625925,1769416239.4736226,2.5789520740509033,0.6155799031257629,1.9633721113204956,97
5953.393957157,1769416239.7111406,2.325070858001709,0.5087685585021973,1.8163024187088013,98
5953.510977114,1769416239.8282073,2.2554168701171875,0.48409199714660645,1.771324872970581,99
5953.748058643,1769416240.0652795,2.360844612121582,0.5735442042350769,1.7873003482818604,100
5953.985102736,1769416240.3022861,2.2777514457702637,0.5358244180679321,1.741926908493042,101
5954.097842794,1769416240.4150708,2.440152168273926,0.5546716451644897,1.8854804039001465,102
5954.335112745,1769416240.6523604,2.3009071350097656,0.5325904488563538,1.7683167457580566,103
5954.572205771,1769416240.8894403,2.3858065605163574,0.5558761358261108,1.829930305480957,104
5954.685189363,1769416241.0024552,2.340794801712036,0.5156914591789246,1.8251032829284668,105
5954.928221814,1769416241.2454596,2.5098257064819336,0.6036273241043091,1.9061983823776245,106
5955.165599106,1769416241.482694,2.4879162311553955,0.5825899243354797,1.9053263664245605,107
6565.404839363,1769416851.7220929,2.152388334274292,0.5132774114608765,1.6391109228134155,108
6565.645526939,1769416851.962447,2.3774666786193848,0.5995415449142456,1.7779252529144287,109
6565.882876009,1769416852.2000117,2.4394211769104004,0.6117590665817261,1.8276621103286743,110
6565.995835791,1769416852.3130949,2.124391555786133,0.46160888671875,1.6627826690673828,111
6566.233321975,1769416852.5503995,2.3369815349578857,0.5422161221504211,1.7947653532028198,112
6566.47085512,1769416852.7879858,2.3957672119140625,0.5732232332229614,1.8225438594818115,113
6566.581718264,1769416852.8989553,2.4215753078460693,0.5557605624198914,1.8658146858215332,114
6566.819127133,1769416853.1362681,2.21220064163208,0.4962216913700104,1.7159788608551025,115
6567.056484114,1769416853.3736823,2.3361005783081055,0.538832426071167,1.797268271446228,116
6567.167475891,1769416853.484689,2.273082733154297,0.5533860921859741,1.7196965217590332,117
6567.404758511,1769416853.721968,2.376227378845215,0.552190899848938,1.8240365982055664,118
6567.642192868,1769416853.9593058,2.4946253299713135,0.5532761812210083,1.9413491487503052,119
