_step,_runtime,_timestamp,total_loss,value_loss,policy_loss
0,1906.230655761,1769462860.0492623,6.1403303146362305,1.3735008239746094,4.766829490661621
1,1906.50420155,1769462860.3228574,3.74509334564209,0.912446141242981,2.8326473236083984
2,1906.654049591,1769462860.4727607,3.6798880100250244,0.9506175518035889,2.7292704582214355
3,1906.732236032,1769462860.550977,3.443777561187744,0.9348128437995911,2.508964776992798
4,1906.882355016,1769462860.7011101,3.4732844829559326,0.909415066242218,2.5638694763183594
5,1907.032091625,1769462860.850844,3.289767265319824,0.8438572883605957,2.4459099769592285
6,1907.093519063,1769462860.9122772,3.812131643295288,0.9840133190155029,2.828118324279785
7,1907.243223036,1769462861.0619879,3.2842676639556885,0.7815127372741699,2.5027549266815186
8,1907.392879039,1769462861.21163,3.999386787414551,0.9709169864654541,3.0284698009490967
9,1907.454041721,1769462861.272795,3.4386019706726074,0.8203258514404297,2.6182761192321777
10,1907.604717082,1769462861.423472,3.21142578125,0.8261220455169678,2.3853037357330322
11,1907.754288562,1769462861.5730338,2.9299349784851074,0.6844779253005981,2.245457172393799
12,4443.108521153,1769465396.9272108,2.7937068939208984,0.7252792119979858,2.068427562713623
13,4443.262953435,1769465397.0816648,3.2506215572357178,0.7797257900238037,2.470895767211914
14,4443.414806306,1769465397.2335496,3.1446585655212402,0.8802334666252136,2.264425039291382
15,4443.569102907,1769465397.3878312,3.0357704162597656,0.7504605054855347,2.2853097915649414
16,4443.721237887,1769465397.5399709,2.6499390602111816,0.6424065828323364,2.0075325965881348
17,4443.872907076,1769465397.6916752,2.873035430908203,0.6862871050834656,2.1867482662200928
18,4444.019958881,1769465397.83872,2.8954410552978516,0.6720904111862183,2.223350763320923
19,4444.171552135,1769465397.9903183,2.6257455348968506,0.60032057762146,2.0254249572753906
20,4444.323106923,1769465398.1418743,2.91428279876709,0.7475423812866211,2.1667404174804688
21,4444.470034524,1769465398.2887976,2.812511444091797,0.6762582063674927,2.1362533569335938
22,4444.621620093,1769465398.440383,2.4475879669189453,0.6388113498687744,1.8087767362594604
23,4444.773268741,1769465398.592031,2.68900203704834,0.704123854637146,1.9848783016204834
24,7311.072774001,1769468264.8914647,2.565641164779663,0.6252091526985168,1.940432071685791
25,7311.227424092,1769468265.0461605,2.6099867820739746,0.6195968389511108,1.9903900623321533
26,7311.379495143,1769468265.198239,2.614508867263794,0.6786503791809082,1.9358584880828857
27,7311.531490232,1769468265.3502455,2.7632925510406494,0.7040041089057922,2.059288501739502
28,7311.593501632,1769468265.4122636,2.2790141105651855,0.5542217493057251,1.72479248046875
29,7311.745743079,1769468265.564498,2.5447142124176025,0.5608320236206055,1.983882188796997
30,7311.897863648,1769468265.7166328,2.6505303382873535,0.6795598268508911,1.9709703922271729
31,7312.050001415,1769468265.8687668,2.423686981201172,0.5449352860450745,1.8787517547607422
32,7312.106738952,1769468265.9255044,2.230799674987793,0.4955105781555176,1.7352890968322754
33,7312.258794392,1769468266.0775595,2.562208652496338,0.5768429040908813,1.985365867614746
34,7312.410872258,1769468266.2296407,2.3741378784179688,0.5812171101570129,1.7929208278656006
35,7312.562845267,1769468266.381601,2.510364055633545,0.5770153999328613,1.9333486557006836
36,7312.619301166,1769468266.438056,2.4510574340820312,0.5827546119689941,1.868302822113037
37,7312.771324114,1769468266.5900514,2.3925182819366455,0.5275905728340149,1.8649277687072754
38,7312.923380842,1769468266.7420807,2.316803216934204,0.532978892326355,1.7838243246078491
39,7313.075506109,1769468266.8942623,2.4587459564208984,0.5524758696556091,1.9062700271606445
40,10402.53966197,1769471356.3583474,2.5244879722595215,0.637202799320221,1.8872852325439453
41,10402.694733986,1769471356.5134168,2.175704002380371,0.5167937278747559,1.6589103937149048
42,10402.846764637,1769471356.6654358,2.289365768432617,0.5713412761688232,1.718024492263794
43,10402.998301559,1769471356.817,2.116572380065918,0.49992984533309937,1.6166425943374634
44,10403.095595983,1769471356.9142954,2.1092371940612793,0.5178086757659912,1.5914283990859985
45,10403.247341183,1769471357.0660334,2.427488327026367,0.5884677767753601,1.8390204906463623
46,10403.398980469,1769471357.2176828,2.0384602546691895,0.5005242824554443,1.5379360914230347
47,10403.550599712,1769471357.3693097,2.520893096923828,0.6222833395004272,1.8986097574234009
48,10403.637889443,1769471357.456648,2.1738123893737793,0.49896299839019775,1.674849271774292
49,10403.78968192,1769471357.608359,2.0418589115142822,0.4954330027103424,1.5464259386062622
50,10403.941375611,1769471357.760053,2.051478624343872,0.4745023846626282,1.5769762992858887
51,10404.093064978,1769471357.9117632,2.209517002105713,0.5346347093582153,1.674882173538208
52,10404.181332354,1769471358.0000222,2.1169233322143555,0.47802984714508057,1.6388933658599854
53,10404.332953344,1769471358.1516628,1.9856548309326172,0.44598788022994995,1.5396668910980225
54,10404.484618149,1769471358.303303,1.9604177474975586,0.43317103385925293,1.5272467136383057
55,10404.636227408,1769471358.4549341,2.006272554397583,0.425632119178772,1.580640435218811
56,13317.003391575,1769474270.8220909,1.9371685981750488,0.40409615635871887,1.5330724716186523
57,13317.159670619,1769474270.978412,2.0715181827545166,0.4168834984302521,1.6546345949172974
58,13317.313093438,1769474271.131801,1.9097614288330078,0.41031935811042786,1.4994421005249023
59,13317.467518276,1769474271.2862532,1.7996602058410645,0.3435426354408264,1.4561175107955933
60,13317.557022363,1769474271.3757827,1.8033190965652466,0.3939739763736725,1.4093451499938965
61,13317.710546013,1769474271.5292535,1.7809598445892334,0.366299033164978,1.4146608114242554
62,13317.862639007,1769474271.681397,1.6983182430267334,0.36605769395828247,1.3322606086730957
63,13318.015909638,1769474271.8346689,1.6250629425048828,0.3284304738044739,1.2966324090957642
64,13318.097106202,1769474271.915868,1.5950944423675537,0.33851033449172974,1.2565841674804688
65,13318.250067596,1769474272.0687919,1.5612194538116455,0.36490216851234436,1.1963173151016235
66,13318.402088674,1769474272.2208436,1.7427749633789062,0.361144095659256,1.3816308975219727
67,13318.555362451,1769474272.374055,1.6997777223587036,0.29517892003059387,1.4045988321304321
68,13318.636506535,1769474272.4552257,1.6221847534179688,0.2990655303001404,1.3231192827224731
69,13318.788652956,1769474272.607408,1.6726632118225098,0.36417287588119507,1.30849027633667
70,13318.94064995,1769474272.7594085,1.535031795501709,0.30989283323287964,1.2251390218734741
71,13319.092681265,1769474272.9113703,1.3235046863555908,0.20744946599006653,1.1160552501678467
72,15222.908027156,1769476176.7267554,1.2083113193511963,0.16683554649353027,1.041475772857666
73,15223.063787262,1769476176.8825364,0.9323127865791321,0.10318243503570557,0.8291303515434265
74,15223.215829815,1769476177.0345044,0.9689530730247498,0.15914194285869598,0.8098111152648926
75,15223.331622857,1769476177.15032,0.8777017593383789,0.08755373954772949,0.7901480197906494
76,15223.483940562,1769476177.3026805,0.7572704553604126,0.0661851018667221,0.6910853385925293
77,15223.636042231,1769476177.4548006,0.9594059586524963,0.12344486266374588,0.835961103439331
78,15223.740753223,1769476177.5594993,0.7192457914352417,0.07449409365653992,0.6447516679763794
79,15223.892791611,1769476177.7115583,0.8609527349472046,0.06867386400699615,0.7922788858413696
80,15224.044794694,1769476177.8635662,0.8137540221214294,0.07174581289291382,0.7420082092285156
81,15224.149499648,1769476177.9682534,0.8604824542999268,0.09628215432167053,0.7642002701759338
82,15224.301432677,1769476178.1201952,0.8212673664093018,0.157436341047287,0.6638310551643372
83,15224.453472824,1769476178.2722433,0.8302143812179565,0.1522044837474823,0.6780098676681519
84,16899.095915624,1769477852.9146078,0.7179349064826965,0.00354571221396327,0.7143892049789429
85,16899.250887099,1769477853.069522,0.7124385237693787,9.226874681189656e-05,0.7123462557792664
86,16899.402967744,1769477853.2216167,0.7248314023017883,5.179395157028921e-05,0.7247796058654785
87,16899.485423124,1769477853.3041255,0.7449432611465454,0.030496448278427124,0.7144467830657959
88,16899.639515951,1769477853.4582012,0.7309120893478394,0.0002118672418873757,0.7307001948356628
89,16899.79464396,1769477853.6132789,0.688143789768219,0.00015203305520117283,0.687991738319397
90,16899.864346143,1769477853.6830394,0.8322534561157227,0.06518735736608505,0.7670661211013794
91,16900.018431319,1769477853.8371065,0.6771308779716492,0.030094048008322716,0.6470368504524231
