_step,_runtime,_timestamp,total_loss,value_loss,p_move_loss,policy_loss,p_move_labeled_frac
0,1138.343685418,1771779006.1335042,5.828818321228027,1.01423180103302,4.8066911697387695,4.814587116241455,0.6484375
1,1140.067050145,1771779007.8570585,4.109113454818726,0.9720023274421692,2.1474926471710205,3.137110710144043,0.6484375
2,1140.55079349,1771779008.3407845,3.8602652549743652,0.9052985906600952,2.1116018295288086,2.9549665451049805,0.703125
3,1140.75290964,1771779008.5429077,3.801310658454895,0.8533148765563965,1.882893443107605,2.947995901107788,0.765625
4,1141.12881429,1771779008.9187746,3.7723408937454224,0.8294772505760193,1.4058836698532104,2.942863702774048,0.703125
5,1141.507123796,1771779009.2973866,4.081008553504944,0.867512047290802,1.6398175954818726,3.213496208190918,0.703125
6,1141.656000909,1771779009.4460394,3.8013616800308228,0.8822451233863831,1.266400694847107,2.919116735458374,0.671875
7,1142.03318043,1771779009.8231409,3.571690559387207,0.8737670183181763,1.3798084259033203,2.697923421859741,0.7421875
8,1142.410823371,1771779010.200798,3.677685499191284,0.7873742580413818,1.4724814891815186,2.8903112411499023,0.7109375
9,1142.559954249,1771779010.349971,3.7748913764953613,0.8118811845779419,1.174856185913086,2.96301007270813,0.7421875
10,1142.937869124,1771779010.7278483,3.847002625465393,0.7936651706695557,1.1360849142074585,3.053337335586548,0.65625
11,1143.314892419,1771779011.104908,3.8750070333480835,0.8585233688354492,1.3542052507400513,3.0164835453033447,0.6484375
12,2574.267557237,1771780442.057714,2.5672028064727783,0.6827763915061951,1.5485246181488037,1.8844265937805176,0.5078125
13,2574.676883535,1771780442.4668684,2.38731849193573,0.6661361455917358,1.104115605354309,1.7211823463439941,0.53125
14,2575.072129386,1771780442.8621683,2.2780715227127075,0.6288889646530151,1.36750066280365,1.6491825580596924,0.625
15,2575.469174527,1771780443.2591743,2.2324851155281067,0.6719431281089783,0.8790585398674011,1.5605419874191284,0.625
16,2575.552997135,1771780443.3430061,2.3706591725349426,0.6692965626716614,0.9530779719352722,1.7013626098632812,0.5625
17,2575.921887042,1771780443.7118464,2.167066216468811,0.5735211372375488,0.6702874898910522,1.5935451984405518,0.5546875
18,2576.294160633,1771780444.084158,2.3210078477859497,0.6175624132156372,1.0150145292282104,1.7034451961517334,0.53125
19,2576.668209125,1771780444.458205,2.52468740940094,0.6653940677642822,1.0250738859176636,1.8592934608459473,0.484375
20,2576.742875967,1771780444.5329196,2.3921267986297607,0.5929067134857178,0.6447947025299072,1.799220085144043,0.5
21,2577.116480059,1771780444.9064422,2.323751926422119,0.6341830492019653,0.8919034004211426,1.6895688772201538,0.53125
22,2577.49013456,1771780445.280123,2.131081998348236,0.5695667862892151,0.7835069298744202,1.5615153312683105,0.578125
